,tv_model,category,price,dimension,discounted,discount_rate,reviews,brand,num_of_reviews
56,PANASONIC - Smart TV OLED 4K Ultra HD - HDR 48'' TX-48JZ1500E-Nero,Tv 4K,"€ 999,00",Dimensione schermo-pollici : 48 pollici,True,-33.0%,"[' TV Oled de qualité. Socle en métal et lourd, donc stable. ']",PANASONIC ,1
57,"LG - Smart TV OLED evo 4K 42"" OLED42C26LB-Argento",Tv 4K,"€ 1.099,00",Dimensione schermo-pollici : 42 pollici,True,-27.0%,"[' Dopo un attesa trepidante di 7 giorni è finalmente arrivato il tv 55 pollici! Il marchio LG come sempre è una garanzia di qualità e anche stavolta mi ha sorpreso per la nitidezza delle immagini, il design minimal della cornice e la varietà delle applicazioni interne precaricate. Il meglio della perfezione immagine è in presenza di contenuti in 4k hd e non ha davvero paragoni. I pixel auto-illuminanti e la risoluzione 4K permettono una visione delle immagini ultra definite in ogni condizione di luce. Il processore di ultima generazione permette una flessibilità di utilizzo considerevole, e l esperienza in modalità gaming è ottimale. Forza LG! ', "" Have had the tv for 4 weeks and all ok so far.Nice to have loads of setting for picture control. I.e tv and film modes.The AI functions work well and help the brightness and sounds.There are several problems with the remote control. Missing control like subtitles and av selection.The voice control work well and also has google and alexa built in. Most functions can be made to work without the remote.Aerial input is not as good as my old Panasonic. Have an old aerial which I've never had problems with, but the LG does blip on some channels. Can't get multiview to work at all, was looking to have pip.Overall very happy with tv. "", "" Spedizione rapida e senza problemi, TV arrivato imballato in maniera sicura. Quando vuoi tirarlo fuori dalla scatola bisogna trovare la giusta presa per paura di romperlo. Una volta accesso la configurazione e facile e intuitiva. Il pannello OLED è uno spettacolo colori vivaci e il nero è veramente un altro mondo rispetto alla tecnologia a led. Qualsiasi cosa guardi la visione è eccezionale e finalmente durante le partite di calcio la palla non la vedi senza quella scia fastidiosa. L'unica cosa dove non mi trovo molto comodo e la funzione puntatore del mouse ma credo che sia più in problema mio di abitudine. Consiglio questo prodotto assolutamente "", ' Having recently purchased the LG OLED65C1 model, I have been on the hunt for a smaller TV to go in my bedroom.  Problem was after being spoilt by deep blacks from the OLED technology the smaller TVs were only available using LED or QLED tech.  Ideally 40” was what I was looking for and was happy to go to 43” for the right TV.  Failing to find anything suitable I even tried the 48” OLED C1 but just couldn’t squeeze it in.  fast forward to 2022 and LG released the 42” OLED C2 as you can imagine I was smiling from ear to ear.  After setting up via the easy menu and start up process I was able to enjoy OLED benefits in a smaller TV format.  Well done LG! ', "" Since the announcement of this new LG's OLED TV I was determined to buy one because:- perfect for small environment- perfect for consoles and also as PC monitor if you like bigger size or you need a lot of desktop space- great features for gamers: 4k@120 hz, G-Sync, AMD FreeSync, VRR- application for gamers: Stadia, GeforceNow- LG's EVO screen: great colours, terrific black, HDR, Dolby VisionI'm actually using it as PC monitor mainly for gaming and films and I'm fully satisfied. With a fair investment you can have one of the best OLED monitor with a great image quality, lot of featuers, web integrations and a quite good sound performance too. "", ' Diese Fernseher, ist bei mir als PC-Monitor sowie als TV im Einsatz.Ich wollte mir schon seit längere Zeit ein OLED TV kaufen und jetzt war die Gelegenheit das umzusetzen. Ich kann nur sagen top Bild für beide Anwendungsbereiche.Natürlich muss man einige Einstellungen nach seinen Bedürfnissen durchführen, aber das muss man bei jedem TV. Gut das der Bildschirm nicht entspiegelt ist, so gibt es keine Kontrast und Farbverluste.Das wäre bei einem OLED TV sehr schade.Alle Einstellungen anzusprechen würde jetzt den Zeitrahmen sprengen, denn es gibt viele z.B ( Youtube ) Beiträge dazu.Habe diesen TV jetzt 2 Wochen im Einsatz und habe es nicht einmal bereut. ', ' Siamo veramente sorpresi di quanto siano definite le immagini su\xa0questa\xa0TV, si è adattata immediatamente all\'ambiente, la funzione di screensaver con tv ""spenta"" la rende anche un elemento di arredo aggiuntivo.L\'audio con la modalità montata a muro è accettabile\xa0anche senza supporti aggiuntivi (impianto audio tipo soundbar o sorround).WebOS nuovo è stato migliorato parecchio, ma rimane intuitivo e di facile utilizzo. L\'integrazione degli assistenti vocali è un plus che rende possibile spostare eventuali supporti (google home o alexa) in altre stanze perché sostituiti da questo tv.Se dovessi dare un voto a questo TV sarebbe sicuramente un 9 su 10. ', "" Televisore che già da spento ti sorprende per il design; cornice estremamente sottile e piedistallo color acciaio spazzolato che fa la sua figura in qualsiasi ambiente venga collocato. Una volta acceso si rimane impressionati dalla nitidezza e dall'elevato contrasto delle immagini; anche con illuminazione intensa della stanza non si notano differenze sostanziali. Altro punto di forza di questo Tv è la presenza di numerose porte di ingresso (4 HDMI, 3 USB, Ethernet) e tutte situate lateralmente in modo da non interferire se il Tv viene installato a parete. Unico appunto è la troppa sensibilità del puntatore del telecomando. ""]",LG ,8
58,"LG - Smart TV OLED UHD 4K 55"" OLED55CS6LA.API-Blu",Tv 4K,"€ 1.199,00",Dimensione schermo-pollici : 55 pollici,True,-40.0%,"[' Questo TV è andato ben oltre le mie aspettative! Cercavo un OLED con caratteristiche da gaming per PS5 (HDMI2.1, VRR, ALLM, 4K@120fps) e ad un prezzo leggermente più accessibile alle mie tasche.Questo CS è praticamente identico in tutte sue le caratteristiche tecniche al top di gamma C2 ma con un risparmio di prezzo notevole! l\'unica differenza è che questo tv probabilmente monta un pannello OLED non ""evo"" come il modello C2 ma, a parte il fatto che non si trova conferma di questo da nessuna parte, la differenza visiva è talmente impercettibile che a mio parere non giustifica una maggiore spesa per prendere il C2.Se volete prestazioni gaming e film da top di gamma ad un prezzo più accessibile io vi consiglio di buttarvi su questo modello! Non ve ne pentirete! ', ' Ho comprato questo articolo qualche giorno fa. Direi che è completo su tutto. Schermo OLED fantastico. Velocissimo e facile da usare. Consiglio. ', "" Ottimo prodotto qualità prezzo lo consiglio ha un'ottima visibilita' e suono ok "", "" Arrivato la settimana scorsa in perfette condizioni, installato in pochi minuti e subito operativo.Lo utilizzo come monitor per PC da gioco di fascia altissima e console di ultima generazione. La disponibilità dello standard Nvidia g-sync lo rendono il display definitivo. Qualità dell'immagine e fluidità portata dal refresh a 120hz impareggiabili. L' attuale monitor sostituisce la già eccellente versione del 2020. ""]",LG ,4
59,SAMSUNG - Smart TV Neo QLED 4K 55” QE55QN90B-Titan Black,Tv Qled,"€ 1.099,00",Dimensione schermo-pollici : 55 pollici,True,-39.0%,[],SAMSUNG ,0
60,"TOSHIBA - TV LED FHD 32"" 32LA3B63DAI-Nero",Smart TV,"€ 199,00",Dimensione schermo-pollici : 32 pollici,True,-7.0%,"[' Lentissima nella risposta, si accende e si spegne da sola; non regge la connessione alla rete o non si connette proprio. Prodotto scadente rispetto ai concorrenti sul mercato. Ho fatto le mie rimostranze ad Euronics che rifiuta di cambiare il prodotto ed offre di sostituirlo con uno identico ', ' Buon rapporto qualità prezzo. Purtroppo non sono riuscito ad ottenere da Toshiba Italia l’informazione richiesta. ', ' La tv è bella, purtroppo dove dovevo installarla non è stato possibile sintonizzare i canali (specifico di non avere alcun problema con altre televisioni nell appartamento). in un altro appartamento funziona benissimo. probabilmente non è compatibile con tutti i tipi di antenne condominiali. ', ' Prenotazione accettata ma non sono mai stato chiamato per il ritiro. Andando in negozio non avevano nessuna traccia del mio ordine. ', ' ottime prestazioni, una tv ottima per il prezzo di vendita ']",TOSHIBA ,5
61,"LG - Smart TV LED HD READY 27,5"" 28TQ515S-Nero",Smart TV,"€ 200,00","Dimensione schermo-pollici : 27,5 pollici",True,-13.0%,[],LG ,0
62,"HISENSE - Smart TV LED Vidaa HD READY 32"" 32A4DG-Black",Smart TV,"€ 199,00",Dimensione schermo-pollici : 32 pollici,False,,"["" Vale la pena prenderlo solo se puntate al risparmio e basta. Per il resto, è uno dei peggiori TV che io abbia mai avuto. La definizione è scarsa e le immagini, specie se in movimento (tipo partita di calcio o carrellata) appaiono sgranate.L'angolo di visuale è molto ridotto: basta spostarsi di poco rispetto alla posizione fronte schermo che i colori tendono fortemente a sbadirsi (ho un vecchio Samsung delle stesse dimensioni, non Smart, comprato 7-8 anni fa, che funziona molto meglio).Unica nota positiva l'audio, graduale e ben calibrato, senza quell'effetto rimbombo di altri TV.Capisco che Hisense non è esattamente leader nel segmento TV, ma così è troppo. Non lo ricomprerei. "", ' buon televisore con un ottimo rapporto qualità prezzo, facile da usare ']",HISENSE ,2
63,"LG - Smart TV LED HD READY 23,6"" 24TQ510S-WZ.API-Bianco",Smart TV,"€ 179,00","Dimensione schermo-pollici : 23,6 pollici",True,-22.0%,"["" Avevo la necessità di sostituire un vecchio televisore a tubo catodico ma allo stesso tempo non volevo trasformarlo in una smart tv tramite uno dei tanti dispositivi di streaming wireless presenti sul mercato perchè non amo vedere troppi cavi intorno al televisore e così mi sono messo alla ricerca di uno smart tv che non superasse la dimensione di 24 pollici ma che fosse esteticamente anche piacevole da guardare in un contesto di arredamento di una camera da letto per cui ho deciso di cercarne uno che fosse di colore bianco e dopo approfondite ricerche ho trovato questo LG che mi ha colpito fin da subito quando sono andato a consultare le specifiche tecniche.Si tratta di un prodotto di eccellenza da tutti i punti di vista.Siamo in presenza di una qualità costruttiva molto elevata unita a contenuti tecnologici all'avanguardia per chi non vuole accontentarsi della sola fruizione dei cliassici canali trasmessi tramite la tecnologia del digitale terrestre.Fondamentale poi la presenza di un modulo wireless molto performante in quanto dotato dell'ultimo protocollo di connessione veloce ovvero LAN wireless (IEEE 802.11a/b/g/n/ac) che rende la navigazione molto fluida all'interno delle applicazioni preinstallate.Una menzione speciale poi va anche riservata all'interfaccia che rende l'esperienza utente molto semplice e piacevole dal punto di vista della navigazione all'interno dei menù dove è possibile perfino trovare il manuale d'uso molto ricco di dettagli all'interno del quale sono spiegate tutte le singole impostazioni con una esposizione molto dettagliata.In generale quindi un prodotto di altissima qualità riservato agli utenti più esigenti ma dal costo sorprendentemente contenuto in rapporto a tutto ciò che offre per cui ne consiglio vivamente l'acquisto a tutti quelli che cercano un prodotto di qualità superiore ma di dimensioni contenute con tutta l'affidabilità e la garanzia dei prodotti LG. ""]",LG ,1
64,"SHARP - TV LED HD READY 32"" 32FG2EA-Nero",Smart TV,"€ 179,00",Dimensione schermo-pollici : 32 pollici,False,,"[' prodotto modesto.troppol lento nei comandi principali.non compratelo on line.servizio clienti NON RISPONDE, in caso di necessità non si può comunicare ', ' Ottimo prodotto questo sharp androidtv con accesso ad internet ']",SHARP ,2
65,"TELEFUNKEN - Smart TV LED HD READY 32"" TE32550B45V2D/E",Smart TV,"€ 159,00",Dimensione schermo-pollici : 32 pollici,True,-6.0%,[],TELEFUNKEN ,0
66,SAMSUNG - Smart TV The Frame 4K 55” 55LS03A-Black,Tv Qled,"€ 849,00",Dimensione schermo-pollici : 55 pollici,True,-39.0%,[],SAMSUNG ,0
67,LG - Smart TV NanoCell 65'' 4K Serie NANO82 65NANO826QB-Dark Iron Gray,Tv NanoCell,"€ 849,00",Dimensione schermo-pollici : 65 pollici,True,-6.0%,[],LG ,0
68,"LG - Smart TV UHD 4K 65"" 65QNED826QB-Argento",Tv Qled,"€ 999,00",Dimensione schermo-pollici : 65 pollici,True,-23.0%,"["" Il televisore ha un design semplice e minimale, si adatta bene all'ambiente anche se me lo aspettavo meno spesso. Ha un ottima qualità dell'immagine, quello che mi colpisce di più è la definizione dei colori, sono realissimi e si adattano alla luminosita dell'ambiente. Ha un buon audio di base, attivando l'AI migliora notevolmente e il suono rimane molto pulito, un ottimo risultato per delle casse integrate. Il sistema webOS è pratico e veloce, si accede comodamente a tutte le app, le piu utili sono già preinstallate. Il telecomando ha una buona impugnatura e il puntatore facilita l'utilizzo delle funzioni smart. "", ' Il sistema operativo è molto fluido e facile da usare, la pagina home è ben fatta e ti permette di andare ovunque. I colori sono vivaci e l’immagine molto nitida. Comoda la selezione delle app dal telecomando. Avrei gradito la possibilità di registrare un programma per rivederlo più tardi o sospendere una visione in diretta per riprenderla temporaneamente registrata.Esteticamente è bella, mi piace il piede d’appoggio. Che però ho coperto con la sound bar, visto che è una tv abbastanza alta da consentire l’alloggiamento della stessa sotto lo schermo. Nel complesso sono soddisfatta dell’acquisto. ', "" Grazie alla tecnologia Quantum Dot e NanoCell, la qualità delle immagini è ottima, neri perfetti e colori ben calibrati. L'audio più che promosso, nitido. Il Sistema operativo è molto veloce ed intuitivo. Esteticamente parlando è elegante e sobria, lo schermo non è molto sottile ma neanche troppo spesso, diciamo che è nella media. Ha l'opzione gaming in 4k che da una visuale davvero ottima. Questa smart tV possiede un comando puntatore che è davvero il top, veloce e comodo da utilizzare e poi ha dei tasti dedicati per le app delle tv in streaming più famosi. Si può anche collegare con ALEXA e tanti altri dispotivi in modo molto semplice. Ottimo rapporto qualità-prezzo, ottimo prodotto. Lo riacquisterei. "", ' Ero un pò scettico su questa nuova tecnologia mini led con quantum dot, ma devo dire che per adesso sono incredibilmente sorpreso, il pannello riproduce colori stupendi, vividi e ben definiti, il pannello 4k a 120 Hz con la modalitò game optimizer con le console di nuove generazione è assolutamente perfetto. Per quanto riguarda il televisore in se stesso trovo il software LG attualmente il migliore in assoluto, grandissima personalizzazione, leggero , super fluido e di facile utilizzo. Testato con le app di streaming come Netfix e Disney + sono veramente più che soddisfatto. ', "" Contentissima e stupefatta, direi ottima la visione notturna, si auto regola e la luminosità rende le immagini piu' realistiche, i colori sono più vividi e rendono l'immagine quasi tridimensionale, regala immagini più nitite chiare e pulite. Il suono è ottimo e si modula in base ai contenuti. Particolare nota va data a smart webOS, , la tv collegata ad internet permette una navigazione a 360°. L'installazione iniziale delle App è molto semplice e si può effettuare tramite l'inquadratura del QR oppure con un codice fornito. Le App di default sono utilissime e molteplici, una grafica semplice ed immediata, di facile utilizzo. Il telecomando con il puntatore permette un utilizzo veloce e preciso. Pienamente soddisfatta.- "", "" Posseggo già un televisore LG del 2020 a LED, ma ero curioso di vedere il salto di qualità promesso dal QNED di LG.La qualità e la resa dell'immagine è nettamente superiore, nei programmi della tv via cavo spicca un dettaglio dell'immagine maggiore, per non parlare della visualizzazione di contenuti 4K dove il televisore da ampio sfoggio delle sue potenzialità, facendo fruire il contenuto con una fluidità mai vista prima.Qualità audio molto buona.Il televisore è dotato di tutte le funzionalità di smart tv, collegamento ad Alexa, app infinite (Netflix, Prime, Dazn, Apple Tv, ecc,...) telecomando con puntatore comodissimo per la digitazione dei caratteri durante le ricerche e collegamento ai contenuti del telefono tramite app. "", "" Ho acquistato la nuova TV per sostituire la mia precedente LG Led del 2016. Il target era una TV Led che supportasse i 120Hz per fruire al meglio delle funzionalità gaming della PS5. Devo dire che sono molto soddisfatto. Il salto rispetto alla precedente TV é notevole. Immagini nitide e colori perfetti (certo i neri non sono quelli di un Oled). Anche i semplici canali TV risultano molto piú definiti rispetto a prima. Anche l'audio integrato fa il suo buon lavoro (anche e soprattutto grazie all'AI Sound Pro).Devo dire un ottimo acquisto. La consiglio "", "" Televisore che da subito si fa apprezzare per l'estetica e la facilità di installazione. I colori sono nitidi e brillanti, molto efficace la possibilità di adattare il tipo di visione alle esigenze (esempio effetto cinema per film e serie). Molto intuitivo il download delle applicazioni e il loro utilizzo. Il telecomando con puntatore è davvero apprezzabile, permette di velocizzare tutti i passaggi che richiedono l'inserimento di indirizzi email e password e in generale di usare in modo molto fluido l'apparecchio. Una nota positiva anche per quanto riguarda l'audio integrato, che si attesta su un buon livello, anche se personalmente provvederò a implementare questa caratteristica con altri device. In generale acquisto decisamente azzeccato. ""]",LG ,8
69,SAMSUNG - Smart TV The Frame 4K 50” 50LS03B-Black,Tv Qled,"€ 816,00",Dimensione schermo-pollici : 50 pollici,True,-2.0%,[],SAMSUNG ,0
70,LG - OLED48A26LA-Argento,Tv 4K,"€ 849,00",Dimensione schermo-pollici : 48 pollici,True,-35.0%,[],LG ,0
71,"SONY - Smart TV BRAVIA LED UHD 4K 55"" KD55X81KAEP",Tv 4K,"€ 696,00",Dimensione schermo-pollici : 55 pollici,True,-7.0%,[' Professionnel '],SONY ,1
72,"LG - Smart TV LED UHD 4K 55"" 55QNED826QB-Argento",Tv 4K,"€ 649,00",Dimensione schermo-pollici : 55 pollici,True,-46.0%,"["" Il televisore ha un design semplice e minimale, si adatta bene all'ambiente anche se me lo aspettavo meno spesso. Ha un ottima qualità dell'immagine, quello che mi colpisce di più è la definizione dei colori, sono realissimi e si adattano alla luminosita dell'ambiente. Ha un buon audio di base, attivando l'AI migliora notevolmente e il suono rimane molto pulito, un ottimo risultato per delle casse integrate. Il sistema webOS è pratico e veloce, si accede comodamente a tutte le app, le piu utili sono già preinstallate. Il telecomando ha una buona impugnatura e il puntatore facilita l'utilizzo delle funzioni smart. "", ' Il sistema operativo è molto fluido e facile da usare, la pagina home è ben fatta e ti permette di andare ovunque. I colori sono vivaci e l’immagine molto nitida. Comoda la selezione delle app dal telecomando. Avrei gradito la possibilità di registrare un programma per rivederlo più tardi o sospendere una visione in diretta per riprenderla temporaneamente registrata.Esteticamente è bella, mi piace il piede d’appoggio. Che però ho coperto con la sound bar, visto che è una tv abbastanza alta da consentire l’alloggiamento della stessa sotto lo schermo. Nel complesso sono soddisfatta dell’acquisto. ', "" Grazie alla tecnologia Quantum Dot e NanoCell, la qualità delle immagini è ottima, neri perfetti e colori ben calibrati. L'audio più che promosso, nitido. Il Sistema operativo è molto veloce ed intuitivo. Esteticamente parlando è elegante e sobria, lo schermo non è molto sottile ma neanche troppo spesso, diciamo che è nella media. Ha l'opzione gaming in 4k che da una visuale davvero ottima. Questa smart tV possiede un comando puntatore che è davvero il top, veloce e comodo da utilizzare e poi ha dei tasti dedicati per le app delle tv in streaming più famosi. Si può anche collegare con ALEXA e tanti altri dispotivi in modo molto semplice. Ottimo rapporto qualità-prezzo, ottimo prodotto. Lo riacquisterei. "", ' Ero un pò scettico su questa nuova tecnologia mini led con quantum dot, ma devo dire che per adesso sono incredibilmente sorpreso, il pannello riproduce colori stupendi, vividi e ben definiti, il pannello 4k a 120 Hz con la modalitò game optimizer con le console di nuove generazione è assolutamente perfetto. Per quanto riguarda il televisore in se stesso trovo il software LG attualmente il migliore in assoluto, grandissima personalizzazione, leggero , super fluido e di facile utilizzo. Testato con le app di streaming come Netfix e Disney + sono veramente più che soddisfatto. ', "" Contentissima e stupefatta, direi ottima la visione notturna, si auto regola e la luminosità rende le immagini piu' realistiche, i colori sono più vividi e rendono l'immagine quasi tridimensionale, regala immagini più nitite chiare e pulite. Il suono è ottimo e si modula in base ai contenuti. Particolare nota va data a smart webOS, , la tv collegata ad internet permette una navigazione a 360°. L'installazione iniziale delle App è molto semplice e si può effettuare tramite l'inquadratura del QR oppure con un codice fornito. Le App di default sono utilissime e molteplici, una grafica semplice ed immediata, di facile utilizzo. Il telecomando con il puntatore permette un utilizzo veloce e preciso. Pienamente soddisfatta.- "", "" Posseggo già un televisore LG del 2020 a LED, ma ero curioso di vedere il salto di qualità promesso dal QNED di LG.La qualità e la resa dell'immagine è nettamente superiore, nei programmi della tv via cavo spicca un dettaglio dell'immagine maggiore, per non parlare della visualizzazione di contenuti 4K dove il televisore da ampio sfoggio delle sue potenzialità, facendo fruire il contenuto con una fluidità mai vista prima.Qualità audio molto buona.Il televisore è dotato di tutte le funzionalità di smart tv, collegamento ad Alexa, app infinite (Netflix, Prime, Dazn, Apple Tv, ecc,...) telecomando con puntatore comodissimo per la digitazione dei caratteri durante le ricerche e collegamento ai contenuti del telefono tramite app. "", "" Ho acquistato la nuova TV per sostituire la mia precedente LG Led del 2016. Il target era una TV Led che supportasse i 120Hz per fruire al meglio delle funzionalità gaming della PS5. Devo dire che sono molto soddisfatto. Il salto rispetto alla precedente TV é notevole. Immagini nitide e colori perfetti (certo i neri non sono quelli di un Oled). Anche i semplici canali TV risultano molto piú definiti rispetto a prima. Anche l'audio integrato fa il suo buon lavoro (anche e soprattutto grazie all'AI Sound Pro).Devo dire un ottimo acquisto. La consiglio "", "" Televisore che da subito si fa apprezzare per l'estetica e la facilità di installazione. I colori sono nitidi e brillanti, molto efficace la possibilità di adattare il tipo di visione alle esigenze (esempio effetto cinema per film e serie). Molto intuitivo il download delle applicazioni e il loro utilizzo. Il telecomando con puntatore è davvero apprezzabile, permette di velocizzare tutti i passaggi che richiedono l'inserimento di indirizzi email e password e in generale di usare in modo molto fluido l'apparecchio. Una nota positiva anche per quanto riguarda l'audio integrato, che si attesta su un buon livello, anche se personalmente provvederò a implementare questa caratteristica con altri device. In generale acquisto decisamente azzeccato. ""]",LG ,8
73,"PHILIPS - Smart TV AMBILIGHT ANDROID UHD 4K 55"" 55PUS7906/12-Black",Tv 4K,"€ 649,00",Dimensione schermo-pollici : 55 pollici,True,-3.0%,"[' Pro: Android funziona bene. Le immagini sono ottime. Il WI-FI, le connessioni funzionano bene. Contro: software di gestione Philips macchinoso, per nulla intuitivo. A volte il software si blocca , va in crash,  mentre si vuole impostare qualcosa, bisogna staccare la spina e riaccenderlo.. Non rileva la CAM per TVSat. Lasciandola inserita nella speranza che prima o poi la rilevi, alla successiva riaccensione la TV risulta inattiva, spariscono voci di menu. Infine il telecomando ha i tasti in croce indistinguibili, per cui bisogna pigiare con estrema attenzione, in scarsa luce è impossibile premere su/giu/destra/sinistra senza sbagliare. ', "" Caro utente, grazie per la sua onesta recensione. Ci dispiace che il nostro telecomando le dia fastidio. Sa che esistono telecomandi universali per TV con tasti più grandi? In ogni caso la ringraziamo per averlo portato alla nostra attenzione. Faremo meglio la prossima volta!Ci ha parlato di problemi di software e questo ci preoccupa molto. Quindi la invitiamo a contattarci sui social network o per telefono allo 00390399685709. Saremo quindi in grado di aiutarla a risolvere i suoi problemi e di aiutarla a fare le impostazioni dell'immagine che più le si addicono.  "", ' Prodotto solido. Comparto smart essendo Android tv una garanzia. Comparto audio e video migliore di quello che pensavo. Tecnologia ambilight piacevolissima è stato il motivo per cui ho comprato questo tv. Purtroppo devi dire che si è rivelata anche l’unica vera nota negativa del TV in quanto mentre nella visione di canali via satellite/digitale è perfetta purtroppo durante la riproduzione di contenuti in streaming come ad esempio serie tv Disney+ o partite trasmesse su DAZN sembra non essere 100% sincronizzata alle immagini e diventa quasi fastidiosa, costringendomi a spegnerla. Non avviene comunque sempre quindi mi ritengo in generale soddisfatto dell’acquisto e do 4/5 ', "" Utilizzo della tv dopo più di un mese. La qualità delle immagini è al di sotto delle aspettative in quanto i colori neri e soffusi sono caratterizzati dalla presenza di aloni. Il sortware è molto lento e dopo l'accensione bisogna attendere un pochino prima di utilizzarne le funzioni. Anche l'interazione con il telecomando è molto lenta. Il suono è molto buono anche se la regolazione del volume va adeguata spesso.La ricezione di tutti i canali digitali richiede jn buon impianto. Funzione migliore è l'ambilight che è  veramente particolare e crea atmosfera.La ricomprerei? Ni, forse ad un prezzo piu basso. "", ' Punto primo: molto spesso si blocca nello streaming di netflix o altre app multimediali. L’audio va avanti e il video va a scatti o è del tutto nero e non c’è niente da fare, bisogna staccare la spina e riaccendere.Punto secondo: a cosa serve che sia integrata con google  assistant se sul telecomando non c’è un tasto rapido di ricerca (figuriamoci un microfono) e l’ambient light non può essere controllato ne dall’app di google home ne dall’app di philips (che manco mi trova il televisore)?Punto 3: perché diamine avete tolto le jointspace api?? Almeno con quelle potevo controllare l’ambientlight per i cavoli miei e invece devo usare quel tasto del telecomando per abilitsrlo, che il 90% delle volte ci mette svariate decine di secondi ad aprire il menu dell’ambientlight ', ' Salve sciorty,ci dispiace che la sua esperienza sia stata inferiore a 5 stelle. Se è disponibile a discutere ulteriormente della sua esperienza, può contattarci in qualsiasi momento su Facebook o Twitter.  ', "" La Tv non è niente male , schermo bello da vedere con colori naturali e vivaci . Nel reparto audio la Tv mostra della vere mancanze con volumi bassi tanto da richiedere l'uso di casse esterne . Per il reparto software, la Tv mostra rallentamenti troppo di frequentemente ,tanto da richiedere lo stacco dalla corrente per stabilizzarla ,ma sembra non risolvere il problema tanto che si ripresenta facilmente in futuro . Del resto la Tv non è male ,quando funziona , veloce anche nella ricezione wifi . "", ' Il focus di questa tv è il sistema AmbilightMolto scenografico e ben integrato nella televisioneA parte questo tutto il resto rientra nei valori di una normalissima smart di Tv di medio/basso livelloSpesso il sistema Android TV si spegne e si riavvia in automatico, per cambiare i canali ci vuole molta pazienza e non sempre esegue il comando corretto Troppa attenzione ed effettua ho riposto nella striscia LED, trascurando la televisione vera e propria ', "" Qualità visiva e audio 10 e lode. Non altrettanto lodevole il menù impostazioni troppo indaginoso e a tratti carente in alcune funzioni. Il sistema Android non è fluido e veloce e ogni tanto la TV va in blocco ed è necessario staccare la presa per farla ripartire. Assolutamente deluso per l'assenza della modalità di registrazione. Risulto possessore di un 48PFT5500/12 che a parte il problema presente da poco dopo l'acquisto in accensione (il led lampeggia per oltre 2 minuti e impedisce l'accensione) e il solito sistema Android lento e pieno di problemi ha un più razionale menù di impostazioni con funzioni più intuitive e logiche. Oltre una qualità video superlativa. Ho voluto premiare ancora il Vostro marchio ma a parte la qualità audio e visiva sono rimasto fortemente deluso.Sicuramente non lo acquisterei se potessi tornare indietro "", ' La TV è bella e il sistema Ambilight è ottimo. Tutto sembrava funzionare bene ma dopo qualche mese ha iniziato a spegnersi da solo, non rispondeva ai comandi del telecomando, si scollegava dal wifi interrompendo la visione di film su Netflix o Prime... spesso ci volevano vari minuti perchè il software si riconnettesse. Per risolvere il problema occorre un aggiornamento che occorre scaricare su USB perchè la TV non riesce a farlo via wifi! ', "" Salve RicVerona,Siamo spiacenti che la sua esperienza non sia stata all'altezza delle sue aspettative. Ci aiuti a migliorare fornendo maggiori informazioni sulla sua esperienza. Siamo raggiungibili su Facebook o Twitter. ""]",PHILIPS ,11
74,SAMSUNG - Smart TV The Frame 4K 43” 43LS03A-Black,Tv Qled,"€ 612,00 ",Dimensione schermo-pollici : 43 pollici,True,-3.0%,[],SAMSUNG ,0
75,LG - Smart TV UHD 4K 65'' 65UQ75006LF,Tv 4K,"€ 618,00",Dimensione schermo-pollici : 65 pollici,False,,"[' La tv è arrivata dopo quasi un mese con lo schermo spaccato, non ho ancora ricevuto chiamate dal reparto post vendita e continuo a non avere la TV ']",LG ,1
76,"SAMSUNG - TV LED UHD 4K 65"" UE65AU7090UXZT-Black",Tv 4K,"€ 649,00",Dimensione schermo-pollici : 65 pollici,False,,[],SAMSUNG ,0
77,"TOSHIBA - Smart TV LED UHD 4K 65"" 65QA7D63DA-Nero",Tv 4K,"€ 524,00",Dimensione schermo-pollici : 65 pollici,True,-5.0%,[' Purtroppo ho dovuto chiamare in sede perché è arrivato con il display difettato '],TOSHIBA ,1
78,"PHILIPS - Smart TV LED UHD 4K 50"" 50PUS8007/12-Black",Tv 4K,"€ 499,00",Dimensione schermo-pollici : 50 pollici,True,-17.0%,[],PHILIPS ,0
79,SAMSUNG - Smart TV Crystal UHD 4K 55” UE55BU8070-Black,Tv 4K,"€ 528,00",Dimensione schermo-pollici : 55 pollici,True,-12.0%,[],SAMSUNG ,0
80,SAMSUNG - Smart TV QLED 4K 43” QE43Q60B-Black,Tv Qled,"€ 499,00",Dimensione schermo-pollici : 43 pollici,True,-9.0%,[],SAMSUNG ,0
81,"HISENSE - Smart Tv QLED 4K Dolby Vision 55"" 55A72GQ-Silver",Tv Qled,"€ 474,00",Dimensione schermo-pollici : 55 pollici,True,-46.0%,[],HISENSE ,0
